technique,implementation,campaign,iteration,stage,fault_target,fault_value,initial_value,expected,status,restart_status,recovery_status,control_status,terminal_status,active_check,checkpoint_check,primary_check,restore_check,alternate_check,phase,signature,transitions,value,active_value,checkpoint_value,passes,failures,seed,fault_mode,inject_pc,inject_offset,target_kind,target_name,target_addr,bit,before,after,qemu_plugin_api
tmr,zig,reg-bitflip-window,1,3,0,0,0,3295508913,0,0,0,0,0,0,0,0,0,0,0,0,0,3295508913,0,0,1,0,4660,reg-bitflip-window,0x1c2dc,25,reg,r3,0x0,31,3295508913,1148025265,5
tmr,zig,reg-bitflip-window,2,3,0,0,0,1714746210,0,0,0,0,0,0,0,0,0,0,0,0,0,1714746210,0,0,2,0,4660,reg-bitflip-window,0x1c2d2,15,reg,r12,0x0,29,1714746210,1177875298,5
tmr,zig,reg-bitflip-window,3,3,0,0,0,2164026643,0,0,0,0,0,0,0,0,0,0,0,0,0,2164026643,0,0,3,0,4660,reg-bitflip-window,0x1c2f4,41,reg,r8,0x0,22,0,4194304,5
tmr,zig,reg-bitflip-window,4,3,0,0,0,579331780,0,0,0,0,0,0,0,0,0,0,0,0,0,579331780,0,0,4,0,4660,reg-bitflip-window,0x1c2e2,28,reg,r11,0x0,14,0,16384,5
tmr,zig,reg-bitflip-window,5,3,0,0,0,1297047669,0,0,0,0,0,0,0,0,0,0,0,0,0,1297047669,0,0,5,0,4660,reg-bitflip-window,0x1c2e0,27,reg,r12,0x0,6,1297047669,1297047605,5
