technique,implementation,campaign,iteration,result,pass_delta,failure_delta,stage,stage_name,fault_target,fault_name,fault_value,initial_value,expected,value,recovery_status,recovery_status_name,checkpoint_check,checkpoint_check_name,primary_check,primary_check_name,restore_check,restore_check_name,alternate_check,alternate_check_name,active_value,checkpoint_value,passes,failures,seed,fault_mode,target_kind,target_name,inject_pc,inject_offset,target_addr,bit,before,after,qemu_plugin_api
recovery-block,zig,ram-symbol-bitflip,1,fail,0,1,11,after_recovery,0,none,0,129,154,129,3,checkpoint_failed,5,inconsistent_fields,0,ok,0,ok,0,ok,129,129,0,1,4660,ram-symbol-bitflip,ram-symbol,harness_zig_active_min,0x1ceac,0,0x20000044,31,0,2147483648,5
recovery-block,zig,ram-symbol-bitflip,2,pass,1,0,11,after_recovery,0,none,0,158,191,191,0,primary_accepted,0,ok,0,ok,0,ok,0,ok,191,191,1,1,4660,ram-symbol-bitflip,ram-symbol,harness_zig_checkpoint_value,0x1ceac,0,0x20000060,29,158,536871070,5
