technique,implementation,campaign,iteration,stage,fault_target,fault_value,initial_value,expected,status,restart_status,recovery_status,control_status,terminal_status,active_check,checkpoint_check,primary_check,restore_check,alternate_check,phase,signature,transitions,value,active_value,checkpoint_value,passes,failures,seed,fault_mode,inject_pc,inject_offset,target_kind,target_name,target_addr,bit,before,after,qemu_plugin_api
checkpoint,c,ram-symbol-bitflip,1,7,0,0,137,364,0,0,0,0,0,0,0,0,0,0,0,0,0,364,364,364,1,0,4660,ram-symbol-bitflip,0x6c,32,ram-symbol,harness_c_checkpoint_state,0x20000a9c,31,137,2147483785,5
checkpoint,c,ram-symbol-bitflip,2,7,0,0,174,417,0,0,0,0,0,0,0,0,0,0,0,0,0,417,417,417,2,0,4660,ram-symbol-bitflip,0x6c,40,ram-symbol,harness_c_checkpoint_state,0x20000aa4,29,1000,536871912,5
checkpoint,c,ram-symbol-bitflip,3,7,0,0,211,470,0,1,0,0,0,4,0,0,0,0,0,0,0,211,211,211,2,1,4660,ram-symbol-bitflip,0x6c,12,ram-symbol,harness_c_checkpoint_state,0x20000a88,22,1000,4195304,5
