technique,implementation,campaign,iteration,result,pass_delta,failure_delta,stage,stage_name,fault_target,fault_name,fault_value,expected,value,control_status,control_status_name,terminal_status,terminal_status_name,phase,phase_name,signature,transitions,passes,failures,seed,fault_mode,target_kind,target_name,inject_pc,inject_offset,target_addr,bit,before,after,qemu_plugin_api
control-flow,zig,ram-symbol-bitflip,1,fail,0,1,15,after_control_flow,0,none,0,148,0,2,bad_signature,0,ok,0,start,592609390,0,0,1,4660,ram-symbol-bitflip,ram-symbol,harness_zig_control_flow_signature,0x1c8a4,0,0x20000030,31,2740093038,592609390,5
control-flow,zig,ram-symbol-bitflip,2,fail,0,1,15,after_control_flow,0,none,0,189,0,2,bad_signature,0,ok,0,start,2203222126,0,0,2,4660,ram-symbol-bitflip,ram-symbol,harness_zig_control_flow_signature,0x1c8a4,0,0x20000030,29,2740093038,2203222126,5
